timestamp,section,city,state,country,pet,money,weight,color
2016-08-23T12:45:27,2,Warrensburg,MS,USA,Dog person,40.00,4530.00,blue
2016-08-23T12:46:02,2,Canton,MA,USA,Dog person,8.00,2267.00,blue
2016-08-23T12:46:04,2,Littleton,CO,USA,Dog person,17.38,3510.75,red
2016-08-23T12:46:14,2,Hyannis,MA,USA,Dog person,100.00,2718.00,navy blue
2016-08-23T12:46:18,2,Bangalore,Karnataka,IND,Dog person,50.00,3000.00,pink
2016-08-23T12:46:24,2,Chesapeake,VA,USA,Dog person,15.00,1824.00,pink
2016-08-23T12:46:37,2,Greenwich,CT,USA,Dog person,75.00,723.00,red
2016-08-23T12:46:42,2,McLean,VA,USA,Dog person,18.50,1400.00,pastries
2016-08-23T12:46:46,2,Bronx,NY,USA,Dog person,38.59,2721.00,blue
2016-08-23T12:46:54,2,Basking Ridge,NJ,USA,Dog person,89.16,1050.00,green
2016-08-23T12:47:13,2,Forest,VA,USA,Both,22.37,3336.80,purple
2016-08-23T12:48:06,2,Richmond,VA,USA,Dog person,15.65,520.00,gold
2016-08-23T12:49:22,2,Lynchburg,VA,USA,Neither,50.00,13607.80,red
2016-08-23T12:49:33,2,Beijing,Beijing,CHN,Dog person,80.00,2000.00,purple
2016-08-23T14:33:46,3,Syracuse,NY,USA,Dog person,50.00,2721.55,light blue
2016-08-23T14:33:51,3,Durham,NC,USA,Dog person,25.00,1360.78,blue
2016-08-23T14:34:04,3,Woodbridge,VA,USA,Dog person,37.00,3171.00,red
2016-08-23T14:34:19,3,Ridgewood,NJ,USA,Cat person,37.00,924.00,blue
2016-08-23T14:34:23,3,Williamsburg,VA,USA,Dog person,32.35,3700.00,aqua
2016-08-23T14:34:30,3,Dallas,TX,USA,Dog person,47.50,2831.25,purple
2016-08-23T14:34:35,3,Virginia Beach,VA,USA,Dog person,20.00,2265.00,orange
2016-08-23T14:34:43,3,Raleigh,NC,USA,Dog person,25.00,1360.78,blue
2016-08-23T14:34:45,3,Charlottesville,VA,USA,Cat person,9.00,906.00,yellow
2016-08-23T14:35:05,3,Nassau,New Providence,BHS,Dog person,200.00,12247.00,blue
2016-08-23T14:35:14,3,Xinjiang,Xinjiang,CHN,Dog person,200.00,1814.37,blue
2016-08-23T14:35:19,3,Wilton,CT,USA,Both,89.00,2018.52,pink
2016-08-23T14:35:21,3,Gyeonggi,KOR,USA,Dog person,50.00,600.00,blue
2016-08-23T14:35:27,3,Buffalo,NY,USA,Both,275.00,8154.00,green
2016-08-23T14:35:35,3,Parkton,MD,USA,Both,35.00,1149.00,navy
2016-08-23T14:36:08,3,New York,NY,USA,Cat person,35.00,2777.00,cotton candy