annearn,exper,age,depends,married,tenure,educ,male,white,union,office,vacdays,sicklve,insur,pension,industry,region
15e3,14,36,2,1,15.0,18,1,1,0,1,974.8,421.0,617.81,1367.8,1.0,northeast
6500.0,7,23,0,0,8.0,10,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
6908.99,22,38,3,1,0.5,6,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
5512.5,2,18,0,0,0.5,12,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
7800.0,19,35,0,0,2.0,12,1,0,0,0,0.0,0.0,0.0,0.0,1.0,south
9187.5,24,40,3,1,8.0,13,1,1,0,0,343.3,107.93,473.31,503.96,1.0,northeast
8880.0,42,58,0,1,8.0,12,1,1,1,0,343.3,107.93,473.31,503.96,1.0,northeast
8532.69,21,37,1,1,0.5,13,1,1,0,0,343.3,107.93,473.31,503.96,1.0,north_central
8225.0,22,37,5,0,15.0,10,1,1,1,0,203.4,84.01,261.99,0.0,1.0,northeast
8916.0,40,59,0,1,8.0,6,1,1,1,0,30.93,0.0,465.29,494.64,1.0,south
8064.0,8,24,1,0,0.5,12,1,1,0,0,0.0,0.0,0.0,0.0,1.0,north_central
11232.0,19,39,3,1,2.0,10,1,1,0,0,0.0,0.0,494.75,0.0,1.0,south
16615.4,35,52,2,1,25.0,12,1,1,1,0,1302.86,760.0,1425.51,1190.8,1.0,west
12100.0,30,46,1,1,15.0,10,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,south
18e3,7,23,1,0,2.0,13,1,1,0,0,485.11,155.11,1300.4,1286.3,1.0,south
12862.5,40,60,0,1,15.0,10,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,northeast
13739.6,20,39,1,1,2.0,6,1,1,1,0,485.11,155.11,1300.4,1286.3,1.0,south
14726.2,5,21,1,1,2.0,12,1,1,0,0,430.0,231.0,648.0,0.0,1.0,south
12524.4,45,51,0,1,15.0,10,1,1,0,0,149.99,0.0,1153.97,1394.1,1.0,northeast
21168.0,7,23,2,1,8.0,12,1,1,0,0,139.56,0.0,356.26,0.0,1.0,north_central
16717.3,40,58,1,1,2.0,12,1,1,1,0,0.0,0.0,819.9,888.49,1.0,south
21732.5,14,34,0,1,2.0,13,1,1,1,0,0.0,0.0,819.9,888.49,1.0,west
19344.0,37,55,0,1,0.5,12,1,1,1,0,0.0,0.0,819.9,888.49,1.0,south
24200.0,35,51,2,0,0.5,13,1,1,1,0,0.0,0.0,819.9,888.49,1.0,north_central
16524.0,11,27,4,1,0.5,12,1,1,0,0,0.0,0.0,138.75,0.0,1.0,north_central
19408.0,9,25,1,1,0.5,13,1,1,1,0,0.0,0.0,138.75,0.0,1.0,north_central
9600.0,4,20,0,1,0.5,12,1,1,0,1,356.11,184.08,464.82,0.0,1.0,northeast
15576.9,18,47,1,1,0.5,13,1,1,0,1,995.69,408.11,917.51,1452.01,1.0,south
15824.4,43,59,0,1,25.0,12,1,1,0,1,995.69,408.11,917.51,1452.01,1.0,south
18900.0,24,45,7,1,4.0,16,1,1,0,1,995.69,408.11,917.51,1452.01,1.0,west
22e3,20,36,4,1,15.0,12,1,1,1,1,748.21,349.15,966.18,0.0,1.0,north_central
19840.0,24,40,3,1,8.0,6,1,1,0,1,748.21,349.15,966.18,0.0,1.0,south
24e3,14,35,2,1,8.0,16,1,1,0,1,748.21,349.15,966.18,0.0,1.0,west
27e3,34,50,2,1,4.0,8,1,1,0,1,748.21,349.15,966.18,0.0,1.0,north_central
26e3,31,51,1,1,15.0,16,1,1,0,1,1147.83,357.61,1107.05,1672.83,1.0,west
6691.2,3,24,3,0,0.5,10,0,0,0,0,147.67,41.05,0.0,0.0,1.0,south
7467.6,39,57,2,1,15.0,12,1,1,0,0,281.69,1.17,386.5,296.51,1.0,north_central
7399.99,5,29,3,1,2.0,13,1,0,1,0,281.69,1.17,386.5,296.51,1.0,north_central
7871.99,5,23,0,0,0.5,12,1,1,0,0,210.26,0.0,342.79,0.0,1.0,south
7020.0,12,26,4,1,2.0,12,1,1,0,0,0.0,0.0,0.0,0.0,1.0,south
10454.4,20,36,3,1,15.0,12,1,1,1,0,453.63,1.45,568.03,421.65,1.0,north_central
9839.99,13,31,1,1,15.0,12,1,1,0,0,453.63,1.45,568.03,421.65,1.0,northeast
9243.74,49,65,0,1,15.0,6,1,0,1,0,453.63,1.45,568.03,421.65,1.0,north_central
9878.39,29,49,1,1,15.0,8,1,1,0,0,453.63,1.45,568.03,421.65,1.0,northeast
11707.9,23,45,2,1,25.0,6,1,0,1,0,453.63,1.45,568.03,421.65,1.0,south
9552.55,20,36,3,1,15.0,13,1,0,0,0,453.63,1.45,568.03,421.65,1.0,northeast
10700.0,12,31,0,1,4.0,16,1,1,1,0,124.0,0.0,136.07,0.0,1.0,north_central
8255.99,23,40,1,1,2.0,12,1,1,0,0,124.0,0.0,136.07,0.0,1.0,south
13160.0,38,58,4,1,25.0,12,1,1,1,0,674.78,145.13,874.29,797.09,1.0,northeast
19400.0,33,49,1,0,15.0,12,1,1,1,0,674.78,145.13,874.29,797.09,1.0,north_central
15320.4,10,28,1,1,0.5,13,1,1,1,0,674.78,145.13,874.29,797.09,1.0,west
28e3,28,44,4,1,0.5,14,1,1,0,0,674.78,145.13,874.29,797.09,1.0,northeast
17e3,10,28,1,1,8.0,13,1,1,0,0,674.78,145.13,874.29,797.09,1.0,south
14e3,23,44,0,1,25.0,12,1,1,1,0,674.78,145.13,874.29,797.09,1.0,south
19032.3,17,34,1,1,8.0,10,1,1,1,0,674.78,145.13,874.29,797.09,1.0,west
20100.0,16,32,2,1,4.0,12,1,1,0,0,674.78,145.13,874.29,797.09,1.0,west
18547.2,24,40,3,1,15.0,12,1,1,1,0,674.78,145.13,874.29,797.09,1.0,south
13132.5,8,24,1,1,2.0,12,1,1,0,0,674.78,145.13,874.29,797.09,1.0,north_central
12240.0,42,62,0,1,25.0,10,1,1,1,0,871.49,0.0,1404.89,978.43,1.0,north_central
21413.0,27,43,4,1,2.0,12,1,1,1,0,871.49,0.0,1404.89,978.43,1.0,west
16895.6,35,56,0,1,25.0,13,1,1,1,0,871.49,0.0,1404.89,978.43,1.0,south
12680.6,25,42,2,1,0.5,13,1,1,1,0,871.49,0.0,1404.89,978.43,1.0,south
12240.0,18,34,1,0,4.0,10,1,1,0,0,678.88,0.0,0.0,0.0,1.0,south
12500.0,16,32,2,1,8.0,13,1,1,0,0,266.65,0.0,668.42,0.0,1.0,south
14375.0,33,48,0,1,25.0,12,1,1,0,0,447.78,0.0,103.1,0.0,1.0,north_central
13500.0,10,26,1,1,8.0,13,1,1,0,0,447.78,0.0,103.1,0.0,1.0,north_central
6875.0,31,47,2,1,2.0,12,1,1,0,1,362.8,64.0,390.0,195.2,1.0,south
7350.0,15,52,2,1,2.0,12,0,1,0,1,83.0,74.0,161.0,0.0,1.0,northeast
11500.0,9,25,2,1,4.0,10,1,1,0,1,464.86,186.46,397.1,0.0,1.0,south
13100.0,9,25,1,0,0.5,12,0,1,1,1,905.65,219.82,998.97,1230.22,1.0,south
14169.6,10,32,2,1,4.0,13,1,1,1,1,905.65,219.82,998.97,1230.22,1.0,northeast
17500.0,14,31,2,1,4.0,13,1,1,0,1,905.65,219.82,998.97,1230.22,1.0,northeast
25e3,20,44,3,1,8.0,16,1,1,0,1,905.65,219.82,998.97,1230.22,1.0,west
24646.1,24,40,2,1,0.5,16,1,1,0,1,905.65,219.82,998.97,1230.22,1.0,north_central
17e3,12,32,0,0,0.5,16,1,1,0,1,342.14,28.71,512.29,0.0,1.0,north_central
7119.99,5,25,2,1,4.0,12,1,0,1,0,355.33,104.64,466.88,409.34,1.0,northeast
9206.39,9,28,0,1,4.0,13,1,1,1,0,622.49,13.48,750.75,606.38,1.0,north_central
8495.99,35,52,0,1,25.0,10,0,1,1,0,622.49,13.48,750.75,606.38,1.0,north_central
8927.99,2,19,0,0,0.5,12,0,1,1,0,622.49,13.48,750.75,606.38,1.0,northeast
11900.0,31,49,0,0,15.0,8,1,1,0,0,622.49,13.48,750.75,606.38,1.0,northeast
8524.8,12,45,1,1,8.0,12,0,1,1,0,622.49,13.48,750.75,606.38,1.0,north_central
24469.1,9,25,1,1,0.5,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
23218.0,31,47,1,1,25.0,6,1,0,1,0,898.55,203.74,1332.61,1235.02,1.0,south
12768.0,40,58,0,1,25.0,12,1,1,0,0,898.55,203.74,1332.61,1235.02,1.0,northeast
15507.7,39,57,1,1,15.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
18589.8,12,28,1,1,2.0,16,1,1,0,0,898.55,203.74,1332.61,1235.02,1.0,north_central
21484.6,13,29,2,1,8.0,12,1,1,0,0,898.55,203.74,1332.61,1235.02,1.0,northeast
17600.0,13,33,2,1,4.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,northeast
17325.0,8,26,0,1,4.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
16800.0,15,37,4,1,2.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,south
18500.0,7,24,1,1,4.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
25e3,25,42,1,1,25.0,10,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
15085.9,26,43,6,1,15.0,12,1,1,0,0,898.55,203.74,1332.61,1235.02,1.0,northeast
26376.0,14,30,1,1,0.5,18,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,north_central
15633.4,9,25,1,1,8.0,12,1,1,1,0,898.55,203.74,1332.61,1235.02,1.0,south
15435.0,3,23,0,0,0.5,16,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
12900.0,36,49,2,1,8.0,10,1,0,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
14231.6,10,28,1,1,8.0,13,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
17347.5,17,34,3,1,4.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
15600.0,5,23,0,0,2.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
17704.6,27,50,0,1,15.0,10,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
18142.0,26,43,0,1,25.0,10,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
17280.0,11,26,0,1,0.5,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
12811.5,35,53,5,1,25.0,10,1,0,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
21489.0,14,32,2,1,15.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
18326.9,9,27,2,1,8.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
17680.0,18,34,0,1,8.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,south
14994.0,10,28,0,1,8.0,12,1,1,1,0,1243.95,0.0,1668.54,1637.75,1.0,north_central
11076.9,5,21,0,0,0.5,12,1,1,0,1,598.24,201.97,656.28,674.05,1.0,north_central
9486.39,9,37,2,0,4.0,13,0,1,0,1,598.24,201.97,656.28,674.05,1.0,north_central
17e3,18,34,1,1,2.0,16,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,south
2e4,31,56,0,1,25.0,10,1,1,1,1,1164.47,297.79,1264.21,1716.19,1.0,north_central
17500.0,16,38,1,1,15.0,18,0,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,northeast
2e4,31,47,2,1,25.0,12,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,northeast
15e3,17,33,1,1,15.0,13,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,northeast
17e3,28,48,2,1,15.0,13,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,west
19722.5,27,43,2,1,15.0,13,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,north_central
17150.0,35,51,2,1,15.0,12,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,north_central
2e4,30,45,2,1,0.5,16,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,northeast
15800.0,17,34,3,1,8.0,16,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,northeast
28500.0,27,45,2,1,15.0,16,1,1,0,1,1164.47,297.79,1264.21,1716.19,1.0,north_central
19e3,21,37,2,1,0.5,14,1,1,0,1,1042.92,29.6,1129.02,1733.76,1.0,north_central
5062.49,37,56,0,0,8.0,6,1,1,1,0,227.46,88.22,267.86,0.0,1.0,south
5252.8,20,54,0,0,8.0,13,0,1,0,0,228.5,0.0,325.85,253.87,1.0,south
4800.0,11,30,1,1,8.0,10,0,1,0,0,236.04,0.0,83.06,0.0,1.0,northeast
7140.0,8,30,1,1,0.5,14,0,1,0,0,178.55,1.69,176.21,0.0,1.0,west
11310.0,10,29,0,1,8.0,13,1,1,1,0,471.53,122.22,511.63,427.09,1.0,south
10302.4,24,44,0,0,15.0,10,1,1,0,0,471.53,122.22,511.63,427.09,1.0,northeast
10680.7,10,29,1,0,8.0,12,1,1,0,0,471.53,122.22,511.63,427.09,1.0,south
9015.99,36,52,0,1,15.0,6,1,1,1,0,354.39,94.42,253.13,0.0,1.0,northeast
9200.0,42,59,0,1,25.0,6,0,1,1,0,477.41,0.04,641.75,420.57,1.0,north_central
11193.5,41,56,0,1,25.0,12,1,1,1,0,477.41,0.04,641.75,420.57,1.0,northeast
11280.0,42,61,0,1,25.0,13,1,1,1,0,477.41,0.04,641.75,420.57,1.0,northeast
10416.0,6,30,2,1,4.0,16,1,1,0,0,305.76,0.0,516.76,0.0,1.0,northeast
13407.7,26,41,0,0,15.0,12,1,1,1,0,857.53,203.9,853.38,1055.12,1.0,north_central
14964.0,19,35,1,1,2.0,12,1,1,1,0,857.53,203.9,853.38,1055.12,1.0,west
13200.0,8,24,1,1,0.5,12,1,1,1,0,857.53,203.9,853.38,1055.12,1.0,south
16627.2,24,40,2,1,15.0,12,1,1,0,0,857.53,203.9,853.38,1055.12,1.0,south
17717.8,37,53,0,1,15.0,12,1,1,1,0,857.53,203.9,853.38,1055.12,1.0,west
23587.5,22,39,5,1,0.5,12,1,1,1,0,857.53,203.9,853.38,1055.12,1.0,west
18239.8,18,33,1,0,4.0,10,1,0,1,0,857.53,203.9,853.38,1055.12,1.0,west
12e3,42,58,0,1,2.0,12,1,1,0,1,552.86,137.81,549.39,604.35,1.0,west
2e4,26,43,0,0,15.0,13,1,1,1,1,855.69,203.53,822.5,1167.64,1.0,west
22e3,48,54,1,1,15.0,13,1,1,0,1,855.69,203.53,822.5,1167.64,1.0,northeast
8e3,2,42,1,0,0.5,12,0,1,1,0,342.77,58.82,354.3,287.17,1.0,north_central
5e3,9,29,3,1,8.0,10,0,1,0,0,380.33,0.0,402.04,211.59,1.0,south
7441.87,15,36,0,1,8.0,10,0,1,1,0,380.33,0.0,402.04,211.59,1.0,north_central
7e3,8,33,3,1,8.0,12,0,1,0,0,380.33,0.0,402.04,211.59,1.0,south
8289.2,11,27,1,0,2.0,12,1,1,1,0,634.56,5.56,801.78,619.17,1.0,south
10200.0,13,29,1,1,2.0,12,0,1,1,0,634.56,5.56,801.78,619.17,1.0,north_central
16e3,30,47,4,1,25.0,12,1,1,1,0,1023.75,227.03,1054.58,1260.8,1.0,north_central
15e3,18,36,7,1,15.0,10,1,0,1,0,1023.75,227.03,1054.58,1260.8,1.0,north_central
2e4,27,43,1,0,25.0,12,1,0,1,0,1023.75,227.03,1054.58,1260.8,1.0,north_central
15312.5,39,55,3,1,15.0,6,1,1,1,0,1023.75,227.03,1054.58,1260.8,1.0,north_central
13893.2,42,60,0,1,25.0,12,1,1,1,0,1023.75,227.03,1054.58,1260.8,1.0,south
12880.0,27,53,0,1,25.0,12,0,1,1,0,947.65,7.48,1323.8,1057.17,1.0,north_central
14288.4,15,31,2,1,8.0,12,1,1,1,0,947.65,7.48,1323.8,1057.17,1.0,south
17140.0,20,36,2,1,15.0,12,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,north_central
18250.6,14,32,2,1,8.0,16,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,west
27692.3,36,52,1,1,15.0,18,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,south
16e3,28,44,2,1,25.0,14,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,south
18900.0,12,28,3,1,2.0,16,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,north_central
2e4,17,39,0,0,15.0,16,1,1,0,1,1075.51,252.53,906.55,1426.42,1.0,north_central
9019.99,8,26,0,1,4.0,13,1,1,0,0,298.74,118.3,654.8,0.0,1.0,north_central
10901.2,12,28,1,1,0.5,13,1,1,0,0,172.91,141.36,148.64,0.0,1.0,south
11566.8,9,28,0,0,0.5,13,1,1,1,0,653.16,0.0,607.79,437.3,1.0,north_central
16699.2,20,39,2,1,15.0,13,1,1,1,0,946.48,316.73,818.39,1555.59,1.0,south
19200.0,9,25,2,1,8.0,12,1,1,1,0,946.48,316.73,818.39,1555.59,1.0,north_central
21250.0,20,35,3,1,4.0,10,1,1,1,0,946.48,316.73,818.39,1555.59,1.0,south
18865.0,14,30,0,0,4.0,13,1,1,0,0,946.48,316.73,818.39,1555.59,1.0,west
14373.8,6,23,2,1,0.5,12,1,1,1,0,946.48,316.73,818.39,1555.59,1.0,west
13795.4,20,36,3,1,15.0,12,1,1,1,0,946.48,316.73,818.39,1555.59,1.0,south
14e3,17,27,4,0,4.0,12,1,1,0,0,731.34,0.0,1262.88,1503.07,1.0,south
20896.2,38,54,3,1,25.0,8,1,1,1,0,731.34,0.0,1262.88,1503.07,1.0,north_central
21374.1,11,28,2,1,2.0,12,1,1,0,0,450.86,0.0,423.11,0.0,1.0,south
10076.8,26,51,0,1,25.0,12,0,1,1,1,518.53,226.65,523.07,686.01,1.0,west
10914.7,37,57,0,1,15.0,13,1,1,0,1,460.22,175.56,667.29,0.0,1.0,south
19384.6,19,35,2,1,8.0,13,1,1,0,1,1046.17,302.78,844.68,1416.82,1.0,north_central
15e3,9,25,0,0,8.0,18,1,1,0,1,1046.17,302.78,844.68,1416.82,1.0,northeast
27e3,28,46,2,1,25.0,12,1,1,0,1,1046.17,302.78,844.68,1416.82,1.0,south
18092.3,28,47,0,0,8.0,16,1,1,0,1,1046.17,302.78,844.68,1416.82,1.0,northeast
17113.8,18,34,3,1,15.0,13,0,1,0,1,1046.17,302.78,844.68,1416.82,1.0,north_central
16356.0,40,56,1,1,25.0,12,1,1,1,1,1046.17,302.78,844.68,1416.82,1.0,northeast
16e3,26,41,3,1,15.0,12,1,1,0,1,614.7,274.22,539.97,0.0,1.0,north_central
18125.0,10,34,1,1,4.0,14,1,1,0,1,614.7,274.22,539.97,0.0,1.0,south
15077.5,28,45,3,1,25.0,8,1,1,1,1,754.99,0.0,723.53,1279.59,1.0,north_central
15680.0,11,34,3,1,15.0,12,1,1,1,0,1015.57,463.89,915.32,1416.35,1.0,north_central
15052.8,12,31,1,1,15.0,13,1,1,1,0,1015.57,463.89,915.32,1416.35,1.0,west
15328.7,12,28,0,0,8.0,13,1,1,1,0,0.0,0.0,2248.86,2880.27,1.0,south
20500.0,12,28,2,1,4.0,13,1,1,0,1,1295.15,436.45,1002.57,2045.84,1.0,south
22800.0,44,63,0,1,25.0,12,1,1,1,1,1295.15,436.45,1002.57,2045.84,1.0,northeast
19e3,13,29,3,1,8.0,13,1,1,0,1,1295.15,436.45,1002.57,2045.84,1.0,south
27e3,27,48,5,1,25.0,16,1,1,0,1,1295.15,436.45,1002.57,2045.84,1.0,northeast
17176.4,16,35,1,0,8.0,12,1,1,0,1,1295.15,436.45,1002.57,2045.84,1.0,south
15e3,10,28,1,0,8.0,12,0,1,0,1,1295.15,436.45,1002.57,2045.84,1.0,south
3900.0,3,23,1,0,0.5,13,0,1,0,0,0.0,0.0,0.0,0.0,1.0,west
1794.0,7,29,4,1,0.5,12,0,1,0,0,0.0,0.0,0.0,0.0,1.0,north_central
3250.0,2,18,0,0,0.5,12,0,1,0,0,0.0,0.0,0.0,0.0,1.0,west
2870.4,12,70,0,0,8.0,8,0,1,0,0,0.0,0.0,0.0,0.0,1.0,north_central
