year,fcode,employ,sales,avgsal,tothrs,union,grant,totrain
1987,410032,100,47e6,35000,12,0,0,100
1988,410032,131,43e6,37000,8,0,0,50
1989,410032,123,49e6,39000,8,0,0,50
1987,410440,12,156e4,10500,12,0,0,12
1988,410440,13,197e4,11000,12,0,0,13
1989,410440,14,235e4,11500,10,0,0,14
1987,410495,20,75e4,17680,50,0,0,15
1988,410495,25,11e4,18720,50,0,0,10
1989,410495,24,95e4,19760,50,0,0,20
1987,410500,200,237e5,13729,0,0,0,0
1988,410500,155,197e5,14287,0,0,0,0
1989,410500,80,26e6,15758,24,0,0,20
1989,410509,20,34e5,18500,0,0,0,0
1987,410513,15,1413900.0,18465,0,0,0,0
1988,410513,16,1869348.0,18972,0,0,0,0
1989,410513,16,1857765.0,19589,20,0,0,16
1987,410518,48,2160900.0,14352,14,0,0,3
1988,410518,47,2454500.0,16328,14,0,0,3
1989,410518,66,3359800.0,17555,14,0,0,4
1987,410521,17,1453081.0,16454,150,0,0,5
1988,410521,16,1546911.0,18529,100,0,0,3
1989,410521,14,1672366.0,26428,0,0,0,0
1987,410523,70,8e6,19760,40,0,0,35
1988,410523,85,11e6,22360,40,0,0,40
1989,410523,98,15e6,23920,60,0,0,40
1987,410529,45,1535242.0,20000,0,0,0,0
1988,410529,47,3209188.0,22000,0,0,0,0
1989,410529,51,4030352.0,23650,2,0,0,2
1987,410531,200,1e7,17500,0,1,0,0
1988,410531,200,1e7,18700,20,1,0,6
1989,410531,190,9e6,18300,20,1,0,10
1987,410533,14,16e5,11500,68,0,0,3
1988,410533,12,9e5,13000,75,0,0,5
1989,410533,16,13e5,14700,35,0,0,9
1987,410535,10,420664.0,4237,0,0,0,0
1988,410535,11,544602.0,7484,0,0,0,0
1989,410535,9,495331.0,9548,0,0,0,0
1987,410536,15,1502502.0,11742,12,0,0,2
1988,410536,16,1840912.0,12740,12,0,0,2
1989,410536,18,2273869.0,13700,8,0,0,3
1989,410538,60,5286605.0,20800,30,1,0,50
1987,410540,50,52e5,20000,0,0,0,0
1988,410540,50,65e5,23000,0,0,0,0
1989,410540,55,56e5,25000,0,0,0,0
1987,410546,153,1e7,12500,8,0,0,7
1988,410546,134,11e6,13000,8,0,0,6
1989,410546,146,12e6,13500,40,0,0,28
1987,410547,20,23e5,20000,0,0,0,0
1988,410547,23,25e5,23000,0,0,0,0
1989,410547,25,3e6,25000,48,0,0,1
1989,410556,131,7588770.0,16640,0,0,0,0
1987,410560,22,725e3,9000,0,0,0,0
1988,410560,25,785e3,9000,0,0,0,0
1989,410560,23,785e3,10000,0,0,0,0
1987,410562,15,4e6,32000,10,0,0,2
1988,410562,18,5e6,34000,10,0,0,2
1989,410562,19,7e6,38000,25,0,0,6
1987,410563,73,53e5,21500,0,1,0,0
1988,410563,76,58e5,22200,0,1,0,0
1989,410563,80,64e5,23000,50,1,0,8
1988,410565,112,218e5,20180,0,1,0,0
1989,410565,128,258e5,21500,16,1,0,128
1987,410566,14,2101581.0,14850,8,0,0,12
1988,410566,16,2400723.0,18100,3,0,0,10
1989,410566,13,2470633.0,20500,4,0,0,10
1987,410567,40,3e6,10000,0,0,0,0
1988,410567,48,38e5,11000,0,0,0,0
1989,410567,50,31e5,11500,16,0,0,50
1987,410571,17,755050.0,10400,25,0,0,17
1988,410571,15,1102723.0,10400,25,0,0,15
1989,410571,20,1073785.0,10400,25,0,0,10
1987,410577,75,475e4,16120,3,0,0,30
1988,410577,80,51e5,16432,4,0,0,35
1989,410577,94,55e5,16640,4,0,0,35
1987,410586,116,11e6,23500,47,0,0,96
1988,410586,114,11e6,24000,47,0,0,94
1989,410586,119,11e6,24600,47,0,0,99
1987,410596,8,990400.0,12480,10,0,0,8
1988,410596,16,1166100.0,13520,12,0,0,16
1989,410596,20,1815900.0,14560,14,0,0,20
1987,410603,10,1212478.0,12700,105,0,0,4
1988,410603,14,1159622.0,13600,105,0,0,3
1988,410606,127,122e5,14538,8,0,0,30
1989,410606,128,12e6,14865,28,0,0,87
1987,410609,22,1650831.0,24900,0,0,0,0
1988,410609,37,1817961.0,23000,0,0,0,0
1989,410609,44,1642441.0,23200,0,0,0,0
1987,410612,60,7e6,8840,12,0,0,60
1988,410612,65,85e5,9880,12,0,0,65
1989,410612,70,11e6,10920,12,0,0,70
1987,410626,27,46e5,18000,24,1,0,3
1988,410626,28,49e5,19000,16,1,0,2
1989,410626,30,56e5,21000,32,1,0,6
1987,410635,100,2e7,22000,0,1,0,0
1988,410635,95,18e6,22000,1,1,0,1
1989,410635,85,16e6,22000,20,1,0,50
1987,410639,135,14e6,20384,1,1,0,50
1988,410639,135,15e6,20800,3,1,0,75
1989,410639,144,155e5,20592,5,1,0,100
1987,410640,13,1656e3,19266,240,0,0,3
1988,410640,11,1527e3,20867,200,0,0,2
1989,410640,13,1454e3,25154,200,0,0,2
1988,410665,12,1e6,29120,16,0,0,2
1989,410665,14,12e5,29120,16,0,0,4
1987,410680,27,2873e3,19762,100,0,0,14
1988,410680,61,6097e3,21120,50,0,0,5
1989,410680,52,567e4,22360,70,0,0,9
1987,410686,6,21e5,16640,0,0,0,0
1988,410686,7,18e5,18720,10,0,0,2
1989,410686,6,16e5,20800,0,0,0,0
1989,418008,12,11e5,20000,0,0,0,1
1987,418011,70,42e5,12400,0,1,0,0
1988,418011,50,374e4,13400,43,1,1,10
1989,418011,30,204e4,14000,40,1,0,5
1987,418013,20,75e4,14560,40,0,0,2
1988,418013,18,8e5,16640,60,0,1,3
1989,418013,20,95e4,17680,40,0,0,3
1987,418014,9,6802180.0,13478,256,0,0,2
1988,418014,12,936477.0,14269,281,0,1,7
1989,418014,17,1437883.0,15558,256,0,0,5
1987,418021,11,185e4,12500,0,0,0,0
1988,418021,13,2078e3,13100,40,0,1,2
1989,418021,13,204e4,13800,10,0,0,2
1987,418024,40,55e5,10400,0,0,0,0
1988,418024,60,6e6,10400,40,0,1,57
1989,418024,100,7e6,11020,20,0,0,10
1987,418035,30,1269e3,14000,0,0,0,0
1988,418035,30,1681e3,14500,23,0,1,24
1989,418035,31,1814e3,15000,0,0,0,0
1987,418045,15,2e6,18000,30,0,0,2
1988,418045,15,25e5,20000,40,0,0,3
1989,418045,15,35e5,22000,150,0,0,15
1987,418052,6,4e5,25861,0,0,0,0
1988,418052,5,5e5,25168,55,0,1,5
1989,418052,7,6e5,23625,0,0,0,0
1987,418054,60,3330457.0,11500,0,0,0,3
1988,418054,65,3765312.0,12500,40,0,1,3
1989,418054,56,3533090.0,13200,10,0,0,0
1987,418065,259,269e5,15038,6,1,0,150
1988,418065,331,322e5,15434,21,1,1,244
1989,418065,321,31e6,16307,6,1,0,180
1987,418076,60,387e4,19968,50,0,0,20
1988,418076,70,3882e3,20800,52,0,1,41
1989,418076,70,533e4,21840,50,0,0,20
1987,418083,125,26e6,20000,0,1,0,0
1989,418083,60,22e6,20000,32,1,0,20
1987,418084,40,12e5,10000,200,1,0,6
1989,418084,50,13e5,10700,200,1,0,6
1987,418091,150,11e6,12000,10,0,0,20
1988,418091,175,15e6,14000,30,0,1,74
1989,418091,200,18e6,16000,20,0,0,50
1987,418097,80,6e6,12480,5,0,0,5
1988,418097,150,77e5,14560,30,0,1,14
1989,418097,120,5643e3,16640,0,0,0,0
1987,418107,10,307501.0,8500,10,0,0,10
1988,418107,25,1961818.0,9000,83,0,1,25
1989,418107,34,2650786.0,9400,15,0,0,30
1987,418109,6,6e5,16640,200,0,0,3
1988,418109,12,82e4,18304,290,0,1,5
1989,418109,14,12e5,19552,320,0,0,4
1987,418118,16,1608573.0,35000,5,0,0,10
1988,418118,16,1342236.0,38000,25,0,1,16
1989,418118,16,1504283.0,41000,5,0,0,10
1987,418124,15,16e5,12000,0,0,0,0
1988,418124,20,18e5,13000,40,0,1,9
1989,418124,26,2e6,16000,8,0,0,6
1987,418125,72,105e5,17700,10,0,0,67
1988,418125,128,154e5,19350,31,0,1,128
1989,418125,168,23e6,23250,14,0,0,108
1987,418126,60,56e5,23000,30,0,0,10
1988,418126,50,62e5,25000,48,0,1,50
1989,418126,48,63e5,27000,30,0,0,6
1987,418147,15,726833.0,9048,0,0,0,0
1988,418147,80,4005963.0,10088,40,0,0,40
1989,418147,30,2089704.0,10504,0,0,0,0
1987,418163,72,7742994.0,18305,0,1,0,0
1988,418163,70,8273868.0,19828,40,1,1,70
1989,418163,68,8329656.0,17893,0,1,0,0
1987,418177,120,1e7,28080,20,1,0,0
1988,418177,120,12e6,28080,26,1,1,120
1989,418177,120,11e6,28080,14,1,0,120
1987,418213,25,14e5,14000,10,0,0,3
1989,418213,39,2806e3,17000,12,0,0,4
1987,418220,19,58e4,8840,0,0,0,0
1988,418220,21,66e4,9360,39,0,1,21
1989,418220,30,984e3,10720,0,0,0,0
1987,418225,15,13e5,13000,0,1,0,0
1988,418225,18,16e5,14040,10,1,1,18
1989,418225,28,23e5,15080,0,1,0,0
1987,418229,6,49e4,14560,0,0,0,4
1988,418229,7,58e4,15600,0,0,0,6
1989,418229,8,66e4,16640,0,0,0,4
1987,418237,28,4568907.0,19042,0,1,0,0
1988,418237,28,4904008.0,19845,12,1,1,14
1989,418237,29,5884603.0,20426,10,1,0,4
1987,418239,80,69e5,13728,20,0,0,20
1988,418239,65,84e5,14664,20,0,0,25
1989,418239,75,71e5,15600,20,0,0,30
1987,418245,25,3e6,20000,0,0,0,0
1988,418245,30,4e6,25000,0,0,0,0
1989,418245,40,6e6,30000,0,0,0,0
1987,419198,17,1083644.0,24000,56,0,0,6
1988,419198,13,851605.0,24000,88,0,1,13
1989,419198,9,885852.0,16000,56,0,0,1
1987,419201,20,3499895.0,14560,0,0,0,0
1988,419201,17,4008997.0,16848,24,0,0,6
1989,419201,13,3379103.0,18720,0,0,0,0
1987,419242,70,64e5,16141,6,1,0,60
1988,419242,65,68e5,16578,36,1,1,65
1989,419242,30,21e5,16952,4,1,0,30
1987,419268,6,564694.0,22866,0,0,0,0
1988,419268,6,620439.0,22995,0,0,0,0
1989,419268,6,783261.0,29114,32,0,1,6
1987,419272,35,42e5,31000,60,0,0,6
1988,419272,40,48e5,33000,10,0,0,8
1989,419272,43,52e5,34800,80,0,1,43
1987,419275,15,93e4,30000,100,0,0,4
1988,419275,18,98e4,33000,100,0,0,5
1989,419275,21,15e5,35000,150,0,1,10
1987,419289,13,12e5,18720,0,0,0,0
1988,419289,14,135e4,20800,0,0,0,0
1989,419289,15,148e4,29120,72,0,1,15
1987,419297,150,227e5,22006,50,1,0,100
1988,419297,178,308e5,22027,40,1,0,60
1989,419297,171,284e5,24107,20,1,0,40
1987,419298,80,1e7,33280,0,1,0,0
1988,419298,70,9e6,32240,0,1,0,0
1989,419298,65,95e5,30784,40,1,1,60
1987,419303,6,875e3,13500,0,0,0,0
1988,419303,8,159e5,14100,20,0,0,2
1989,419303,11,225e4,15050,75,0,1,11
1987,419307,262,181e5,22360,0,0,0,4
1988,419307,264,193e5,23026,24,0,0,3
1989,419307,302,222e5,21736,44,0,1,302
1987,419309,6,6e5,24960,15,0,0,6
1988,419309,9,75e4,28080,20,0,0,9
1989,419309,12,1e6,30160,55,0,1,12
1987,419335,57,8486927.0,40563,0,0,0,0
1988,419335,53,4327519.0,37429,40,0,0,10
1989,419335,62,8533205.0,42583,40,0,0,5
1987,419339,40,8e6,15000,0,1,0,0
1988,419339,40,85e5,15500,0,1,0,0
1989,419339,60,1e7,17000,0,1,0,0
1987,419343,100,1e7,15000,70,1,0,5
1988,419343,125,12e6,16000,25,1,0,21
1989,419343,290,48e6,18700,17,1,1,290
1989,419344,9,1e6,17000,0,0,0,0
1987,419357,60,6870314.0,12750,50,0,0,60
1988,419357,65,7079852.0,11875,75,0,0,65
1989,419357,75,8040128.0,12625,120,0,1,75
1987,419376,32,6e6,15250,2,1,0,5
1988,419376,36,61e5,16290,4,1,0,10
1989,419376,40,63e5,17370,38,1,1,40
1987,419378,20,27e5,10920,50,0,0,5
1988,419378,22,31e5,11856,75,0,0,12
1989,419378,37,47e5,13520,154,0,1,37
1987,419381,14,1585e3,14560,60,0,0,1
1988,419381,11,156e4,19240,0,0,0,0
1989,419381,12,1747e3,20280,50,0,1,12
1987,419388,40,24e5,16307,2,0,0,10
1988,419388,36,23e5,16827,4,0,0,15
1989,419388,33,27e5,17347,18,0,1,33
1987,419400,6,373164.0,17680,170,0,0,2
1988,419400,8,422611.0,17680,170,0,0,4
1989,419400,9,390210.0,17846,170,0,0,4
1987,419401,62,5e6,29000,72,0,0,13
1988,419401,74,6e6,34000,72,0,0,13
1989,419401,82,8e6,39000,72,0,0,13
1987,419409,75,845e4,13416,20,0,0,40
1988,419409,72,103e5,15184,26,0,0,72
1989,419409,75,102e5,17451,60,0,1,75
1987,419420,19,198e4,15600,0,0,0,0
1988,419420,15,16e5,17160,0,0,0,0
1989,419420,12,143e4,18720,80,0,1,12
1987,419433,19,17e5,16640,50,0,0,4
1988,419433,19,2e6,17160,15,0,0,19
1989,419433,21,22e5,17680,49,0,1,11
1987,419434,89,114e5,14394,0,0,0,0
1988,419434,59,4748e3,15454,0,0,0,0
1989,419434,105,7175e3,15558,10,0,0,105
1987,419449,40,3317e3,16640,30,0,0,40
1988,419449,55,3692e3,16640,30,0,0,55
1989,419449,65,3252e3,16640,30,0,0,15
1987,419450,175,125e5,9360,0,0,0,0
1988,419450,225,125e5,10400,0,0,0,0
1989,419450,275,182e5,11440,3,0,0,200
1987,419459,110,151e5,21000,20,1,0,35
1988,419459,125,16e6,21000,20,1,0,40
1989,419459,225,289e5,21000,20,1,0,160
1987,419467,4,1494764.0,30000,80,0,0,4
1988,419467,5,2566104.0,31000,100,0,0,5
1989,419467,10,2191680.0,35000,100,0,0,10
1988,419479,30,1503906.0,15500,0,0,0,0
1989,419479,30,1360372.0,16500,20,0,0,13
1988,419482,15,1e6,10000,0,0,0,0
1989,419482,18,1e6,10000,24,0,0,18
1987,419483,133,11e6,13957,0,1,0,0
1988,419483,108,115e5,14810,0,1,0,0
1989,419483,129,12e6,14227,20,1,0,20
1987,419486,80,7e6,16000,0,0,0,0
1988,419486,90,85e5,17000,0,0,0,0
1989,419486,100,99e5,18000,40,0,1,90
