head_of_state,year,boys,girls,total,boy_to_girl_ratio
Franklin D. Roosevelt,1940,1211684,1148715,2360399,1.055
Franklin D. Roosevelt,1941,1289734,1223693,2513427,1.054
Franklin D. Roosevelt,1942,1444365,1364631,2808996,1.058
Franklin D. Roosevelt,1943,1508959,1427901,2936860,1.057
Franklin D. Roosevelt,1944,1435301,1359499,2794800,1.056
Harry S. Truman,1945,1404587,1330869,2735456,1.055
Harry S. Truman,1946,1691220,1597452,3288672,1.059
Harry S. Truman,1947,1899876,1800064,3699940,1.055
Harry S. Truman,1948,1813852,1721216,3535068,1.054
Harry S. Truman,1949,1826352,1733177,3559529,1.054
Harry S. Truman,1950,1823555,1730594,3554149,1.054
Harry S. Truman,1951,1923020,1827830,3750850,1.052
Harry S. Truman,1952,1971262,1875724,3846986,1.051
Dwight D. Eisenhower,1953,2001798,1900322,3902120,1.053
Dwight D. Eisenhower,1954,2059068,1958294,4017362,1.051
Dwight D. Eisenhower,1955,2073719,1973576,4047295,1.051
Dwight D. Eisenhower,1956,2133588,2029502,4163090,1.051
Dwight D. Eisenhower,1957,2179960,2074824,4254784,1.051
Dwight D. Eisenhower,1958,2152546,2051266,4203812,1.049
Dwight D. Eisenhower,1959,2173638,2071158,4244796,1.049
Dwight D. Eisenhower,1960,2179708,2078142,4257850,1.049
John F. Kennedy,1961,2186274,2082052,4268326,1.05
John F. Kennedy,1962,2132466,2034896,4167362,1.048
John F. Kennedy,1963,2101632,1996388,4098020,1.053
Lyndon B. Johnson,1964,2060162,1967328,4027490,1.047
Lyndon B. Johnson,1965,1927054,1833304,3760358,1.051
Lyndon B. Johnson,1966,1845862,1760412,3606274,1.049
Lyndon B. Johnson,1967,1803388,1717571,3520959,1.05
Lyndon B. Johnson,1968,1796326,1705238,3501564,1.053
Richard Nixon,1969,1846572,1753634,3600206,1.053
Richard Nixon,1970,1915378,1816008,3731386,1.055
Richard Nixon,1971,1822910,1733060,3555970,1.052
Richard Nixon,1972,1669927,1588484,3258411,1.051
Richard Nixon,1973,1608326,1528639,3136965,1.052
Richard Nixon,1974,1622114,1537844,3159958,1.055
Gerald Ford,1975,1613135,1531063,3144198,1.054
Gerald Ford,1976,1624436,1543352,3167788,1.053
Jimmy Carter,1977,1705916,1620716,3326632,1.053
Jimmy Carter,1978,1709394,1623885,3333279,1.053
Jimmy Carter,1979,1791267,1703131,3494398,1.052
Jimmy Carter,1980,1852616,1759642,3612258,1.053
Ronald Reagan,1981,1860272,1768966,3629238,1.052
Ronald Reagan,1982,1885676,1794861,3680537,1.051
Ronald Reagan,1983,1865553,1773380,3638933,1.052
Ronald Reagan,1984,1879490,1789651,3669141,1.05
Ronald Reagan,1985,1927983,1832578,3760561,1.052
Ronald Reagan,1986,1924868,1831679,3756547,1.051
Ronald Reagan,1987,1951153,1858241,3809394,1.05
Ronald Reagan,1988,2002424,1907086,3909510,1.05
George H. W. Bush,1989,2069490,1971468,4040958,1.05
George H. W. Bush,1990,2129495,2028717,4158212,1.05
George H. W. Bush,1991,2101518,2009389,4110907,1.046
George H. W. Bush,1992,2082097,1982917,4065014,1.05
Bill Clinton,1993,2048861,1951379,4000240,1.05
Bill Clinton,1994,2022589,1930178,3952767,1.048
Bill Clinton,1995,1996355,1903234,3899589,1.049
Bill Clinton,1996,1990480,1901014,3891494,1.047
Bill Clinton,1997,1985596,1895298,3880894,1.048
Bill Clinton,1998,2016205,1925348,3941553,1.047
Bill Clinton,1999,2026854,1932563,3959417,1.049
Bill Clinton,2000,2076969,1981845,4058814,1.048
George W. Bush,2001,2057922,1968011,4025933,1.046
George W. Bush,2002,2057979,1963747,4021726,1.048
George W. Bush,2003,2093535,1996415,4089950,1.049
George W. Bush,2004,2104661,2007391,4112052,1.048
George W. Bush,2005,2118982,2019367,4138349,1.049
George W. Bush,2006,2184237,2081318,4265555,1.049
George W. Bush,2007,2208071,2108162,4316233,1.047
George W. Bush,2008,2173625,2074069,4247694,1.048
Barack Obama,2009,2113739,2016926,4130665,1.048
Barack Obama,2010,2046561,1952825,3999386,1.048
Barack Obama,2011,2024068,1929522,3953590,1.049
Barack Obama,2012,2021800,1931041,3952841,1.047
Barack Obama,2013,2013108,1919073,3932181,1.049